sample_id,AM,BA,BOB,BOV,BT,EC,FP,LB,LJ
pair_['AM' 'BA']_2,0.39609621451104104,0.9648030018761723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BA']_3,0.23828864353312385,0.9157786116322701,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pair_['AM' 'BA']_4,0.36108044164037895,0.9618949343339586,0.0,0.0,0.0,0.0,0.0,0.0,0.0
higher_a_1_1,0.14039826498422844,0.0,0.0,0.0,0.0,0.06869158878504661,0.39681178540017675,0.0,0.1666243332486671
higher_a_1_2,0.22983044164037875,0.0,0.0,0.0,0.0,0.10098768054375501,0.4753737906772205,0.0,0.201066802133604
higher_a_2_1,0.3254731861198746,0.0,0.0,0.0,0.0,0.05824129141886085,0.0,0.24221944570649626,0.27025654051308107
higher_a_2_2,0.33651419558359646,0.0,0.0,0.0,0.0,0.028887000849617508,0.0,0.2271808268968646,0.30166370332740655
higher_a_3_1,0.2772673501577304,0.0,0.0,0.28810912119950055,0.0,0.10276125743415435,0.0,0.0,0.2814198628397254
higher_a_3_2,0.2904771293375398,0.0,0.0,0.28575593502707197,0.0,0.11726847918436689,0.0,0.0,0.2851409702819411
higher_a_4_1,0.0,0.0,0.0,0.4924822990420663,0.10852673021135437,0.0,0.0,0.0,0.37713995427990854
higher_a_4_2,0.0,0.0,0.0,0.4786963765097877,0.09751346871114742,0.0,0.0,0.0,0.373952247904496
higher_a_5_1,0.0,0.0,0.0,0.0,0.0,0.02920560747663536,0.38372911169745033,0.2431167651067696,0.2773431546863096
higher_a_5_2,0.0,0.0,0.0,0.0,0.0,0.009027187765505613,0.43788478452066887,0.25059064061790043,0.2652146304292609
higher_a_6_1,0.09266561514195701,0.0,0.0,0.0,0.0,0.09385089209855538,0.4927440633245382,0.27252385279418406,0.0
higher_a_6_2,0.05701892744479515,0.0,0.0,0.0,0.0,0.0728440951571789,0.37781442392260317,0.27708995910949513,0.0
higher_a_7_1,0.0,0.0,0.0,0.6003956684714701,0.0,0.11108751062022083,0.0,0.08279191276692366,0.1837439674879354
