analysis_set,fold,budget_fraction,family,setting,inner_folds,mean_inner_auprc
carlstrom_phyllosphere_2019,3,0.2,logistic,l2_C=1,3,0.20043095228805896
carlstrom_phyllosphere_2019,3,0.2,logistic,l1_C=0.01,3,0.12626262626262627
carlstrom_phyllosphere_2019,3,0.2,logistic,l1_C=0.1,3,0.2637521161863625
carlstrom_phyllosphere_2019,3,0.2,logistic,l1_C=1,3,0.216266623737962
carlstrom_phyllosphere_2019,3,0.2,ranking,C=0.01,3,0.1968818941879262
carlstrom_phyllosphere_2019,3,0.2,ranking,C=0.1,3,0.19677582388772433
carlstrom_phyllosphere_2019,3,0.2,ranking,C=1,3,0.2092109118573222
carlstrom_phyllosphere_2019,3,0.2,boosting,depth=1_l2=1,3,0.2135877164030299
carlstrom_phyllosphere_2019,3,0.2,boosting,depth=2_l2=1,3,0.170537020508023
carlstrom_phyllosphere_2019,3,0.4,logistic,l2_C=0.01,3,0.2601577323700353
carlstrom_phyllosphere_2019,3,0.4,logistic,l2_C=0.1,3,0.27992814146338757
carlstrom_phyllosphere_2019,3,0.4,logistic,l2_C=1,3,0.26713227499421244
carlstrom_phyllosphere_2019,3,0.4,logistic,l1_C=0.01,3,0.11616161616161617
carlstrom_phyllosphere_2019,3,0.4,logistic,l1_C=0.1,3,0.2615081961322361
carlstrom_phyllosphere_2019,3,0.4,logistic,l1_C=1,3,0.2663492190349191
carlstrom_phyllosphere_2019,3,0.4,ranking,C=0.01,3,0.26751120996591277
carlstrom_phyllosphere_2019,3,0.4,ranking,C=0.1,3,0.2867702899356995
