"taxon_1","taxon_2","onenet_score"
"Leaf126","Leaf177",0.0444444444444444
"Leaf126","Leaf180",0.05
"Leaf126","Leaf182",0.222222222222222
"Leaf126","Leaf183",0.00555555555555556
"Leaf126","Leaf185",0.0333333333333333
"Leaf126","Leaf187",0.0722222222222222
"Leaf126","Leaf189",0.0722222222222222
"Leaf126","Leaf2",0.00555555555555556
"Leaf126","Leaf201",0.0388888888888889
"Leaf126","Leaf203",0.0111111111111111
"Leaf126","Leaf208",0.0277777777777778
"Leaf126","Leaf21",0.111111111111111
"Leaf126","Leaf216",0.116666666666667
"Leaf126","Leaf220",0.0222222222222222
"Leaf126","Leaf222",0.0222222222222222
"Leaf126","Leaf225",0.0111111111111111
"Leaf126","Leaf226",0.0111111111111111
"Leaf126","Leaf231",0.1
"Leaf126","Leaf233",0.0444444444444444
"Leaf126","Leaf234",0.144444444444444
"Leaf126","Leaf242",0.0111111111111111
"Leaf126","Leaf245",0.0388888888888889
"Leaf126","Leaf254",0.0166666666666667
"Leaf126","Leaf257",0.0111111111111111
"Leaf126","Leaf26",0.0111111111111111
"Leaf126","Leaf261",0.111111111111111
"Leaf126","Leaf262",0.205555555555556
"Leaf126","Leaf263",0.00555555555555556
"Leaf126","Leaf264",0.0333333333333333
"Leaf126","Leaf265",0.0666666666666667
"Leaf126","Leaf267",0.0722222222222222
"Leaf126","Leaf274",0.0166666666666667
"Leaf126","Leaf28",0.00555555555555556
"Leaf126","Leaf280",0.0111111111111111
"Leaf126","Leaf285",0.0888888888888889
"Leaf126","Leaf288",0.0888888888888889
"Leaf126","Leaf289",0.0333333333333333
"Leaf126","Leaf299",0.177777777777778
"Leaf126","Leaf3",0.0166666666666667
"Leaf126","Leaf30",0.0944444444444444
"Leaf126","Leaf304",0.0833333333333333
"Leaf126","Leaf306",0.188888888888889
"Leaf126","Leaf311",0.0611111111111111
"Leaf126","Leaf313",0.00555555555555556
"Leaf126","Leaf314",0.0111111111111111
"Leaf126","Leaf32",0.00555555555555556
"Leaf126","Leaf324",0.0222222222222222
"Leaf126","Leaf326",0.0388888888888889
"Leaf126","Leaf33",0.0388888888888889
"Leaf126","Leaf334",0.0222222222222222
"Leaf126","Leaf335",0.0111111111111111
"Leaf126","Leaf336",0.0111111111111111
"Leaf126","Leaf337",0.383333333333333
"Leaf126","Leaf339",0.00555555555555556
"Leaf126","Leaf34",0.0555555555555556
"Leaf126","Leaf343",0.0722222222222222
"Leaf126","Leaf344",0.0888888888888889
"Leaf126","Leaf351",0.00555555555555556
"Leaf126","Leaf354",0.0166666666666667
"Leaf126","Leaf357",0.0333333333333333
"Leaf126","Leaf359",0.0166666666666667
"Leaf126","Leaf361",0.00555555555555556
"Leaf126","Leaf363",0.0388888888888889
"Leaf126","Leaf369",0.05
"Leaf126","Leaf371",0.0555555555555556
"Leaf126","Leaf380",0.0333333333333333
"Leaf126","Leaf391",0.0166666666666667
"Leaf126","Leaf394",0.111111111111111
"Leaf126","Leaf396",0.05
"Leaf126","Leaf405",0.0111111111111111
"Leaf126","Leaf406",0.0555555555555556
"Leaf126","Leaf41",0.0222222222222222
"Leaf126","Leaf412",0.155555555555556
"Leaf126","Leaf416",0.0444444444444444
"Leaf126","Leaf42",0.0666666666666667
"Leaf126","Leaf420",0.355555555555556
"Leaf126","Leaf427",0.0388888888888889
"Leaf126","Leaf434",0.0111111111111111
"Leaf126","Leaf443",0.0111111111111111
"Leaf126","Leaf446",0.105555555555556
"Leaf126","Leaf454",0.211111111111111
"Leaf126","Leaf456",0.00555555555555556
"Leaf126","Leaf466",0.0444444444444444
"Leaf126","Leaf49",0.0611111111111111
"Leaf126","Leaf5",0.361111111111111
"Leaf126","Leaf50",0.0111111111111111
"Leaf126","Leaf51",0.0111111111111111
"Leaf126","Leaf53",0.0222222222222222
"Leaf126","Leaf58",0.0222222222222222
"Leaf126","Leaf61",0.0222222222222222
"Leaf126","Leaf62",0.0722222222222222
"Leaf126","Leaf64",0.0166666666666667
"Leaf126","Leaf67",0.0222222222222222
"Leaf126","Leaf68",0.0666666666666667
"Leaf126","Leaf69",0.0111111111111111
"Leaf126","Leaf70",0.0611111111111111
"Leaf126","Leaf75",0.0111111111111111
"Leaf126","Leaf76",0.0611111111111111
"Leaf126","Leaf78",0.00555555555555556
"Leaf126","Leaf82",0.0166666666666667
"Leaf126","Leaf83",0.00555555555555556
"Leaf126","Leaf85",0.00555555555555556
